title,img_address
"PROJECT KANE: City will bid over £150m to tempt Daniel Levy, raise cash by selling fringe players PLUS Bernardo Silva or another big name, use money banked from Leroy Sane's £55m move to Bayern Munich - and STILL go after Jack Grealish",https://i.dailymail.co.uk/1s/2021/07/23/10/45798431-0-image-m-10_1627031399960.jpg
"Revealed: How best man Harry Kane told guests at his brother's wedding he was 'set to join Man City for record £160m deal earning £400,000-a-week' (and could join new teammates living in upmarket Cheshire villages) ",https://i.dailymail.co.uk/1s/2021/07/23/11/45800705-0-image-a-52_1627035546368.jpg
Paul Pogba 'rejects £50m contract offer' to extend his stay at Manchester United as club face prospect of selling their record signing or losing him on a free next year with PSG interested,https://i.dailymail.co.uk/1s/2021/07/23/10/45799491-0-image-a-9_1627033235815.jpg
Son Heung-min signs new four-year deal at Tottenham and claims it was an 'easy' decision... amid talk of fellow star Harry Kane making a record-breaking £160m move to Man City,https://i.dailymail.co.uk/1s/2021/07/23/10/45800133-0-image-m-24_1627034033171.jpg
"Juventus 'are set to relaunch their move for £35million-rated Sassuolo midfielder Manuel Locatelli, with the Euro 2020-winning Italy star top of Massimiliano Allegri's shopping list'",https://i.dailymail.co.uk/1s/2021/07/23/10/45799537-0-image-m-40_1627033118457.jpg
Barcelona president Joan Laporta insists the club are making 'good progress' over new Lionel Messi contract and claims new signings 'CAN be registered' despite salary cap rules,https://i.dailymail.co.uk/1s/2021/07/23/09/45797659-0-image-m-15_1627030155148.jpg
AC Milan 'pushing to sign Hakim Ziyech on loan this summer as Chelsea star waits to discover if he is part of Thomas Tuchel's plans before deciding on his future'... 12 months on from joining for £38m,https://i.dailymail.co.uk/1s/2021/07/23/08/45796133-0-image-m-21_1627026788263.jpg
"Antoine Griezmann IS for sale and Barcelona are 'open to all offers', says club president Joan Laporta, who wants to find 'financial equilibrium' at cash-strapped club... but Frenchman will 'only rejoin Atletico Madrid' if he were to leave this summer",https://i.dailymail.co.uk/1s/2021/07/23/08/45795393-0-image-m-40_1627024991413.jpg
Newcastle 'hope to secure deal for Joe Willock now after Arsenal tie down Emile Smith Rowe to a new contract' as Steve Bruce eyes permanent move for youngster after starring on loan,https://i.dailymail.co.uk/1s/2021/07/23/00/45783627-0-image-m-89_1626997129431.jpg
Tottenham 'offer Atalanta £34m plus £8m in add-ons for Cristian Romero'... and the Premier League side have 'agreed a five-year contract with the Argentina defender',https://i.dailymail.co.uk/1s/2021/07/23/00/45782733-0-image-m-138_1626994910350.jpg
"Tottenham's Harry Kane 'set to join Manchester City for record-breaking £160m after Daniel Levy finally agreed to let England captain move to Premier League rivals on £400,000-a-week deal'",https://i.dailymail.co.uk/1s/2021/07/22/23/45782191-0-image-m-67_1626992333282.jpg
"Raphael Varane has never lost a major final, quietly projects assurance and would be the ideal partner for Maguire just as he was to Ramos at Real Madrid... the French defender with a winning pedigree can help Solskjaer restore success to Man United",https://i.dailymail.co.uk/1s/2021/07/22/11/45753341-0-image-m-19_1626948426439.jpg
Chelsea are 'considering a move for former Manchester United goalkeeper Sergio Romero' as Thomas Tuchel looks to bring in competition for Edouard Mendy and Kepa Arrizabalaga,https://i.dailymail.co.uk/1s/2021/07/22/21/45778787-0-image-m-99_1626986222833.jpg
Arsenal's Granit Xhaka 'closing in on £17m Roma move with just final details being ironed out'... and Serie A side are hopeful the Swiss captain can 'join up with his new team-mates on their pre-season trip to Portugal next week',https://i.dailymail.co.uk/1s/2021/07/22/21/45777199-0-image-m-61_1626984292195.jpg
Liverpool 'eyeing up a move for in-demand AC Milan midfielder Franck Kessie this summer' as they look to pounce on his contract impasse in a bid to replace Georginio Wijnaldum,https://i.dailymail.co.uk/1s/2021/07/22/20/45776775-0-image-m-31_1626981944294.jpg
"Chelsea are considering a swoop for 6ft 7in striker Sasa Kalajdzic as their move for Dortmund hitman Erling Haaland stalls... so, what could Blues fans expect from the Stuttgart giant who has named Man Utd midfielder Nemanja Matic as an inspiration?",https://i.dailymail.co.uk/1s/2021/07/20/15/45672219-0-image-m-63_1626790361387.jpg
"Liverpool leading the way to sign Newcastle and England youth star Bobby Clark... with the Reds set to beat Chelsea, Manchester United and Tottenham to the 16-year-old's signature",https://i.dailymail.co.uk/1s/2021/07/22/18/45772327-0-image-m-33_1626973697465.jpg
Hellas Verona 'in talks to sign Ivan Ilic on permanent deal from Manchester City this summer' after Serbian midfielder impressed on loan at Serie A side last season,https://i.dailymail.co.uk/1s/2021/07/22/17/45772217-0-image-m-29_1626972657583.jpg
Hector Bellerin 'ready to leave Arsenal this summer after decade-long stay in north London... but club have yet to receive official offer for Spaniard despite Bayer Leverkusen and LaLiga interest in past 12 months',https://i.dailymail.co.uk/1s/2021/07/22/16/45770255-0-image-m-11_1626969175511.jpg
Florian Lejeune joins Alaves on a permanent deal as Frenchman ends Newcastle nightmare after two serious knee injuries restricted him to just 46 appearances in FOUR YEARS ,https://i.dailymail.co.uk/1s/2021/07/22/16/45769769-0-image-m-144_1626968638212.jpg
Emile Smith Rowe ignores interest from Aston Villa to sign a new long-term contract with Arsenal... and academy product is handed Mesut Ozil's old No 10 shirt after becoming a key player for Mikel Arteta last season,https://i.dailymail.co.uk/1s/2021/07/22/15/45765867-0-image-m-22_1626963286312.jpg
"Arsenal 'will need to sell Alexandre Lacazette AND Eddie Nketiah' to make room for the signing of Tammy Abraham from Chelsea, with 'loan deal followed by £40m obligation to buy' offer on the table for the wantaway striker ",https://i.dailymail.co.uk/1s/2021/07/22/14/45764685-0-image-m-71_1626961848339.jpg
